Icon,Titulo,Ingredientes,Receita,Texto,Latitude,Longitude,,,,,
receita_feijao,Tutu,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Feijão tropeiro</h2>
<b>INGREDIENTES</b>
<br><br>
<li>1 kg de feijão carioca  cozido e temperado, lembre-se de reservar a água do cozimento </li>
<li>100g de farinha de mandioca </li>
<li>alho e cebola picados em cubinhos</li>
<li>1 colher de sopa de cachaça </li>
<li>ovos cozidos fatiados para servir, se quiser</li>
<br><br>
<b>PREPARO</b>
<ol>
<p>Bata o feijão cozido com parte do caldo, dosando o líquido para que se forme um creme. 
<p>Coloque em uma panela o alho e a cebola e refogue, quando estiverem dourados acrescente o creme de feijão, acerte o sal e coloque a cachaça. Quando começar a ferver vá colocando a farinha lentamente e mexendo para não empelotar. Daí em diante é tempo, perseverança, movimentos contínuos. Belinha recomenda que se mexa sempre das beiradas para o centro, formando um infinito, um eterno gesto de mexer e mexer sem descanso. 
<p>A dose de cachaça faz os sabores se tornarem ainda mais acentuados, mas é preciso saber que a quantidade colocada não aumenta conforme o volume de feijão. Um toque é sempre um toque, não é para embebedar  a comida, como Belinha nos lembra com veemência. O tempo do tutu só ele dirá e as mãos que mexem, respeitam e acreditam no porvir.
</ol>",-19.88,-44.00,concordia,varal,,,
receita_chuchu,"Salada de chuchu ""espelhado""","<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Salada de chuchu ""espelhado""</h2>
<b>INGREDIENTES</b>
<br><br>
<li>2 chuchus fatiados finamente no sentido do comprimento </li>
<li>1 cebola roxa fatiada </li>
<li>Suco de dois limões </li>
<li>Sal e pimenta a gosto (do reino moída ou dedo de moça em flocos para uma picância mais extrema) </li>
<li>Salsa, coentro ou quaisquer ervas frescas </li>
<br><br>
<b>PREPARO</b>
Deixe os chuchus marinando no suco de limão, sal e pimenta por pelo menos 10 minutos. Quanto mais finas forem as fatias, mais o sabor será absorvido por elas. 
Finalize com a cebola roxa e as ervas frescas. 
Chuchus quando comidos crus nos lembram ainda mais de que são parentes da água, mas a crocância contrasta com a liquidez, convidando o paladar a entender que nem tudo está traçado, tudo é surpresa e invenção.",-19.85,-43.985,concordia,feijao,,-44.00128,norte
receita_panela,,,,"<p>""O segredo da cozinha é água quente, tendo água quente você resolve várias coisas em vários momentos, com rapidez. Se você chegar numa cozinha de festa do rosário e não tiver ninguém na casa, se tiver saído todo mundo e você não sabe o que fazer, põe água pra ferver, mantém água quente. Porque se não tiver nada pra fazer com aquela água, tem que lavar o tanque, lavar vasilha, lavar as coisas.”</p>
<br>
 <p>“a pessoa não esquece da comida que ela não comeu, fica o gosto do cheiro na boca, a lembrança do gosto. "" </p>
<br>
<p>“ O segredo do tutu é mexer, mexer três horas sem parar pra respirar. O tutu é um creme de feijão, tem que mexer no centro e nas beiradas, no centro e nas beiradas, aí coloca uma pinga no tutu pra salientar o gosto dele.""</p>
<br>
<p>“Meu avô plantava uma horta pra ele e uma pros bichos. Agora, como é que ensinava o bicho a comer só o dele eu não sei te falar não. Se era reza, se era prece, se era oração, se era conversa...”</p>",-19.845,-43.96,concordia,,,,
receita_milho,Mandiopã caseiro,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Mandiopã caseiro</h2>
<b>INGREDIENTES</b>
<br><br>
<li>1 xícara de fubá ou canjiquinha ou farinha de milho</li>
<li>2 xícaras de caldo de legumes ( junte cascas, aparas e folhas de ervas e vá congelando, assim sempre haverá insumos para o preparo de um caldo )</li>
<li>½ xícara de polvilho azedo</li>
<li>Temperos secos a gosto. Simone tem um apreço especial por louro e certamente recomendaria o uso dessa iguaria, em pó</li>
<li>óleo para fritar </li>
<br><br>
<b>PREPARO</b>
<ol>Coloque o fubá ou canjiquinha ou farinha de milho em uma panela e acrescente  o caldo, o sal e os temperos secos, mexendo sempre até que vire um angu e desgrude do fundo. Retire do fogo e acrescente o polvilho, sovando a massa por dez minutos. Faça rolinhos e leve para cozinhar em água fervente até subirem à superfície. Quando estiverem frios leve-os à geladeira por doze horas, quando estarão com a consistência perfeita para serem fatiados como grandes moedas. Frite por imersão em óleo quente. Sim, a espera compensa e as mordidas barulhentas talvez possam te fazer resgatar memórias infantis como as de Simone ou até mesmo inventá-las, a cada intervalo entre um som e outro.</ol>",-19.98,-43.898492,sta tereza,salsinha,,-43.896,sul
receita_banana,Doce de banana com açúcar queimado,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Doce de banana com açúcar queimado</h2>
<b>INGREDIENTES</b>
<br><br>
<li>10 a 12 bananas em rodelas, quanto mais maduras melhor, aquelas mesmo esquecidas na fruteira sobre a mesa. O uso da fruta madura fará com que seja preciso usar menos açúcar, pois o dulçor nesse estágio está mais acentuado</li>
<li>100g de açúcar (de preferência demerara ou cristal)</li>
<li>canela em pau e/ou demais especiarias da família aromática: anis, cravo…</li>
<li>uma pitada de sal</li>
<br><br>
<b>PREPARO</b>
Faça do açúcar um caramelo, cozido lentamente até que tenha um belo tom ocre e escorra, espesso, pela colher. Coloque canela em pau e as especiarias que quiser. O tempo se encarrega de apurar esses sabores para que, aromático, o caramelo possa receber as bananas. Coloque as bananas e a pitada de sal e mexa sempre, mantendo o fogo baixo. Há quem goste de um doce mais pedaçudo, com encontros esporádicos com as bananas ainda íntegras. Caso prefira uma textura mais homogênea, mexa sem pensar muito e quando menos esperar lá estará  um doce cremoso e malemolente. Para uma acidez deliciosa pode-se acrescentar suco de laranja ao cozimento, o que fará com que o tempo para chegar no ponto desejado aumente um pouco, mas cada volta a mais da colher de pau será recompensada.",-19.92,-43.889,sta tereza,salsinha,,,
receita_banana,Angu de banana verde,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Angu de banana verde</h2>
<b>INGREDIENTES</b>
<br><br>
<li>alho e cebola picados em cubinhos</li>
<li>sal e pimenta do reino a gosto </li>
<li>6 bananas caturras verdes, raladas na parte grossa do ralador ou batidas no liquidificador. Se raladas, deve-se colocá-las cobertas em uma panela com água enquanto rala, para que não escureçam. Utilize essa mesma água para cozinhar o angu posteriormente. Se batidas, deve-se colocar água aos poucos para ter um ponto não muito líquido, mais parecido com o de um purê</li>
<br><br>
<b>PREPARO</b>
Leve uma panela com um pouco de azeite ou óleo ao fogo baixo e refogue alho e cebola até que estejam belamente dourados e exalando sabor. Coloque a polpa da banana e tempere com sal e pimenta. Não é preciso mexer quase nada, aos poucos a massa ganha forma de angu, apenas observe com atenção. Como a própria Lucia diz: ""o angu de banana se faz sozinho"". ",-19.76,-43.9,areias,galinha ,,,
receita_couve,Bolinhos de cará moela ou cará do ar ou cará-voador,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Bolinhos de cará moela ou cará do ar ou cará-voador</h2>
<b>INGREDIENTES</b>
<br><br>
<li>5 carás pequenos, ralados grosseiramente (é possível fazer com inhame ou cará barbado, diminuindo a quantidade de ovos para que a massa não fique muito líquida);</li>
<li>2 ovos</li>
<li>farinha de trigo ou de mandioca para dar corpo à massa: concentre-se para ter nos gestos a intenção de conseguir fazer com que fique homogênea, espessa mas malemolente. Recorra ao seu repertório de memórias, que habita sempre nas linhas das mãos, para saber o momento certo de dizer que está no ponto. </li>
<li>ervas frescas em abundância: salsa, cebolinha, tomilho ou o que estiver ao alcance das suas possibilidades</li>
<li>sal a gosto</li>
<br><br>
<b>PREPARO</b>
<ol>Aqueça o óleo até que fique bem quente, o que pode ser constatado por pequenas bolhas que surgem nas laterais da panela. Com uma colher, coloque pequenas porções da massa, delicadamente. Frite até que  os bolinhos estejam dourados e coloque sobre papel toalha para que o excesso de óleo seja absorvido.  
Cada bolinho ganha um contorno único ao passar pelo processo de fritura, observe cada desenho como uma novidade que o calor inaugurou. Do ar para a mesa, está o trajeto aqui definido. 
</ol>",-19.85,-43.915,areias,varal,,-19.952775,oeste
receita_jilo,Doce de jiló,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Doce de jiló</h2>
<b>INGREDIENTES</b>
<br><br>
<li>1 kg de jiló</li>
<li>1 kg de açúcar (de preferência cristal ou demerara)</li>
<li>Canela em pau, cravo e especiarias de sua preferência </li>
<li>Folhas de figo </li>
<li>1 pitada de sal</li>
<br><br>
<b>PREPARO</b>
Corte os cabinhos dos jilós e faça uma incisão em cruz na base, para que a calda possa entrar no legume. Coloque em uma vasilha com água e leve à geladeira, trocando o líquido pelo menos duas vezes ao dia, por três dias. Isso fará com que o amargor diminua consideravelmente. Ao final desse processo, prepare uma calda com o açúcar e as especiarias, coloque os jilós e acrescente as folhas de figo, cozinhe em fogo baixo até que estejam macios. 
Há quem acrescente cinzas de fogão à lenha, envoltas em uma trouxinha de tecido, para retirar ainda mais o amargor característico. Wanusa acredita que as trocas de água, pacientemente feitas, dão conta dessa tarefa. Fazer doce é um exercício de paciência que ela gosta de cultivar.",-19.96,-44.02,papagaio,feijao ,,-19.86184 ,leste
receita_quiabo,Pó de quiabo,"<li> 1 coração de bananeira
<li> 2 colheres de sopa de azeite de oliva
<li> 1 cebola média, picada
<li> 2 dentes de alho, picados
<li> 1 tomate médio, picado
<li> Sal e pimenta a gosto
<li> Suco de meio limão (opcional)
<li> Salsinha ou coentro picado para polvilhar (opcional)","<ol><li> Remova as folhas externas e fibras duras do coração de bananeira, deixando apenas a parte macia e clara. Corte em fatias finas ou em cubos, como preferir.
<li> Em uma panela grande, aqueça o azeite de oliva em fogo médio.
<li> Adicione a cebola picada e o alho à panela, refogando até que fiquem macios e dourados.
<li>  Acrescente o coração de bananeira cortado e refogue por alguns minutos, mexendo ocasionalmente.
<li>  Adicione o tomate picado à panela e continue refogando por mais alguns minutos até que os ingredientes estejam levemente cozidos.
<li>  Tempere com sal e pimenta a gosto. Se preferir, esprema o suco de meio limão sobre o coração de bananeira para realçar o sabor.
<li>  Reduza o fogo para médio-baixo, tampe a panela e cozinhe por cerca de 15-20 minutos, ou até que o coração de bananeira esteja macio e cozido. Se necessário, adicione um pouco de água para evitar que grude no fundo da panela.
<li>  Ao final do cozimento, polvilhe salsinha ou coentro picado sobre o coração de bananeira refogado para dar um toque de frescor.
<li>  O coração de bananeira refogado é um ótimo acompanhamento para pratos principais ou pode ser servido como um prato vegetariano. Aproveite!</ol>","<h2>Pó de quiabo</h2>
<b>INGREDIENTES</b>
<br><br>
<li>Quiabos fibrosos: sabe-se que estão fibrosos quando a ponta não quebra com facilidade, sendo geralmente descartados nas feiras e sacolões </li>
<br><br>
<b>PREPARO</b>
Para fazer dos quiabos um pó é preciso uma fonte de calor constante, seja ela o sol ou o forno. Para secá-los ao sol é necessário colocá-los em um tabuleiro por alguns dias, sempre lembrando de virá-los. Preparar no forno exige menos dedicação e vigília, basta que estejam por tempo suficiente em temperatura média, até que fiquem totalmente secos.Depois de desidratados é hora de batê-los em um liquidificador ou processador até que virem pó. Resgatar o sabor do quiabo fresco a partir do quiabo em pó, essa é a beleza do tempo, do calor e da inventividade que passou de dona Amélia para Wanusa e agora para quem mais quiser reproduzir. ",-19.92,-43.945,papagaio,galinha ,,,
receita_panela,,,,"<p>""eu converso com a comida, chamo de neném de mamãe, falo pra ir devagar, trato ela como uma filha, um bem precioso.""</p>
<br>
<p>“5:30, 6h da manhã, quando junta aquela neblina, aquele sereninho com o sol, aí dá aquele cheirinho da rosa branca.”</p>
<br>
<p>“o angu de banana verde se faz sozinho, não precisa de muita coisa pra ele    se transformar”</p>
<br>
<p>“Cada canto é um canto, cada terra tem os seus mistérios e os seus cuidados.”</p>",-19.80,-43.91,areias,,,,
